channel,regime,cost_variant,cost_variant_label,n_legs,fee_bps_per_leg,fee_component_bps,mean_abs_bps,pct_profitable,avg_net_cond_bps,avg_net_uncond_bps,n_minutes,execution_assumption
"Cross BTC/USD (Coinbase-Kraken, 2-leg pre-funded)",Crisis,fee_only_upper,Fee-only upper bound,2,5.0,10.0,4.741030776102751,11.319444444444445,6.358598268287982,0.7197579984242646,4320,cross_exchange_prefunded
"Cross BTC/USD (Coinbase-Kraken, 2-leg pre-funded)",Crisis,fee_plus_slippage_conservative,Fee + slippage conservative bound,2,5.0,10.0,4.741030776102751,2.2916666666666665,6.370549050593823,0.14599174907610843,4320,cross_exchange_prefunded
"Cross BTC/USD (Coinbase-Kraken, 2-leg pre-funded)",Post-SVB,fee_only_upper,Fee-only upper bound,2,5.0,10.0,5.982175204231891,19.363804817788758,7.379427985944771,1.4289380318676252,12952,cross_exchange_prefunded
"Cross BTC/USD (Coinbase-Kraken, 2-leg pre-funded)",Post-SVB,fee_plus_slippage_conservative,Fee + slippage conservative bound,2,5.0,10.0,5.982175204231891,6.6553428042001235,4.67196859569636,0.3109355257481673,12952,cross_exchange_prefunded
"Cross BTC/USD (Coinbase-Kraken, 2-leg pre-funded)",Pre-SVB,fee_only_upper,Fee-only upper bound,2,5.0,10.0,1.7572186723127838,0.18915510718789408,1.6139206569313795,0.003052813348546115,12688,cross_exchange_prefunded
"Cross BTC/USD (Coinbase-Kraken, 2-leg pre-funded)",Pre-SVB,fee_plus_slippage_conservative,Fee + slippage conservative bound,2,5.0,10.0,1.7572186723127838,0.0,0.0,0.0,12688,cross_exchange_prefunded
"Cross BTC/USDT (Binance-Kraken, 2-leg pre-funded)",Crisis,fee_only_upper,Fee-only upper bound,2,5.0,10.0,4.838833948352572,11.85064935064935,4.122945061956564,0.488595762212385,4312,cross_exchange_prefunded
"Cross BTC/USDT (Binance-Kraken, 2-leg pre-funded)",Crisis,fee_plus_slippage_conservative,Fee + slippage conservative bound,2,5.0,10.0,4.838833948352572,1.8089053803339517,2.7518327473123123,0.04977805062392403,4312,cross_exchange_prefunded
"Cross BTC/USDT (Binance-Kraken, 2-leg pre-funded)",Post-SVB,fee_only_upper,Fee-only upper bound,2,5.0,10.0,5.118586757132954,12.57303108202851,4.255746540481813,0.5350763353071315,12837,cross_exchange_prefunded
"Cross BTC/USDT (Binance-Kraken, 2-leg pre-funded)",Post-SVB,fee_plus_slippage_conservative,Fee + slippage conservative bound,2,5.0,10.0,5.118586757132954,1.86959569992989,3.3429890379367677,0.06250037930239341,12837,cross_exchange_prefunded
"Cross BTC/USDT (Binance-Kraken, 2-leg pre-funded)",Pre-SVB,fee_only_upper,Fee-only upper bound,2,5.0,10.0,3.126682862775771,4.5411317165953395,3.902581694708459,0.17722137510444974,12618,cross_exchange_prefunded
"Cross BTC/USDT (Binance-Kraken, 2-leg pre-funded)",Pre-SVB,fee_plus_slippage_conservative,Fee + slippage conservative bound,2,5.0,10.0,3.126682862775771,0.9827230939927089,2.89899884340375,0.028489131128710175,12618,cross_exchange_prefunded
"USDC/USD (Kraken, 3-leg triangular)",Crisis,fee_only_upper,Fee-only upper bound,3,5.0,15.0,13.373970840680585,29.16180247490077,16.576481702549625,4.834000851385591,4283,intra_exchange_triangular
