series,regime,freq,ff_filter,rho_est,half_life_min,n_obs,warning
USDC/USD $B_t$ (Kraken),Pre-SVB,1m,all,0.49442010565390726,0.9840672785610942,11196,
USDC/USD $B_t$ (Kraken),Pre-SVB,1m,no_ff,0.139675980095196,0.3521319997605681,1166,
USDC/USD $B_t$ (Kraken),Pre-SVB,5m,all,0.07224016113014264,1.3188940534334361,2478,
USDC/USD $B_t$ (Kraken),Pre-SVB,5m,no_ff,-0.1311164385997461,,208,rho_invalid
USDT/USD $B_t$ (Kraken),Pre-SVB,1m,all,0.4543113946392985,0.8785442415843534,12617,
USDT/USD $B_t$ (Kraken),Pre-SVB,1m,no_ff,0.23596076422885592,0.47998899296800224,4619,
USDT/USD $B_t$ (Kraken),Pre-SVB,5m,all,0.09978149721002105,1.5037214672733183,2583,
USDT/USD $B_t$ (Kraken),Pre-SVB,5m,no_ff,0.14325572870513825,1.7835897358567983,863,
USDC/USD $B_t$ (Kraken),Crisis,1m,all,0.3202599900541946,0.6087596171612494,4282,
USDC/USD $B_t$ (Kraken),Crisis,1m,no_ff,0.27377440451327195,0.5350625066158393,2381,
USDC/USD $B_t$ (Kraken),Crisis,5m,all,0.04243506631357641,1.096828152076761,861,
USDC/USD $B_t$ (Kraken),Crisis,5m,no_ff,0.012334353411649568,0.7884975117478356,470,
USDT/USD $B_t$ (Kraken),Crisis,1m,all,0.48772493990138377,0.965381097728091,4311,
USDT/USD $B_t$ (Kraken),Crisis,1m,no_ff,0.46920670952745236,0.9159988299707261,2720,
USDT/USD $B_t$ (Kraken),Crisis,5m,all,0.29270654295011633,2.820917282472668,863,
USDT/USD $B_t$ (Kraken),Crisis,5m,no_ff,0.3223510837045327,3.061295846921889,525,
USDC/USD $B_t$ (Kraken),Post-SVB,1m,all,0.41756332007391517,0.7936929300727493,12418,
USDC/USD $B_t$ (Kraken),Post-SVB,1m,no_ff,0.20286071228612235,0.43451083025488135,3870,
USDC/USD $B_t$ (Kraken),Post-SVB,5m,all,0.07341311994572874,1.3270279075062048,2559,
USDC/USD $B_t$ (Kraken),Post-SVB,5m,no_ff,0.10576070454688669,1.5426745103594612,720,
USDT/USD $B_t$ (Kraken),Post-SVB,1m,all,0.29554238794101284,0.5686460943867486,12836,
USDT/USD $B_t$ (Kraken),Post-SVB,1m,no_ff,0.16759464333294427,0.38805533748351306,7701,
USDT/USD $B_t$ (Kraken),Post-SVB,5m,all,0.13631951896710515,1.7391691834336918,2585,
USDT/USD $B_t$ (Kraken),Post-SVB,5m,no_ff,0.15489375334992017,1.8582876308582676,1442,
