Regime,Basis,Mean (bps),Std (bps),rho_est,Half-Life (min),ADF Stat,ADF p-value,N,Warning
Pre-SVB,dispersion_usdc_kraken,0.12,4.95,0.50237,1.01,-43.8,0.0000,11615,
Pre-SVB,dispersion_usdt_kraken,-0.54,4.49,0.501324,1.0,-34.12,0.0000,12618,
Pre-SVB,basis_usdc_kraken,-0.32,5.0,0.49442,0.98,-40.28,0.0000,11197,
Pre-SVB,basis_usdt_kraken,-0.6,4.33,0.454311,0.88,-43.26,0.0000,12618,
Pre-SVB,dispersion_usdt_coinbase,-0.28,2.95,0.419569,0.8,-29.61,0.0000,12640,
Pre-SVB,basis_usdt_coinbase,-0.07,2.67,0.295165,0.57,-39.96,0.0000,12629,
Pre-SVB,basis_usdc_usdt_binance,-4.14,25.02,0.868544,4.92,-26.74,0.0000,12960,
Pre-SVB,xbasis_btcusdt_binance_kraken,-0.08,4.56,0.421861,0.8,-44.87,0.0000,12618,
Pre-SVB,xbasis_btcusdt_coinbase_kraken,-0.08,4.98,0.447201,0.86,-41.81,0.0000,12308,
Pre-SVB,xbasis_btcusd_coinbase_kraken,-0.33,2.42,0.309469,0.59,-34.09,0.0000,12688,
Pre-SVB,usdt_peg_dev_kraken,-0.05,1.34,0.876831,5.27,-8.15,0.0000,12960,
Pre-SVB,usdt_peg_dev_coinbase,0.21,1.23,0.988536,60.12,-5.75,0.0000,12665,
Pre-SVB,usdc_peg_dev_kraken,-0.45,0.52,0.521338,1.06,-34.01,0.0000,12445,
Crisis,dispersion_usdc_kraken,319.97,322.87,0.997343,260.55,-1.61,0.4768,4311,
Crisis,dispersion_usdt_kraken,-57.18,45.1,0.989357,64.78,-1.88,0.3415,4312,
Crisis,basis_usdc_kraken,5.27,21.21,0.32026,0.61,-20.27,0.0000,4283,
Crisis,basis_usdt_kraken,0.68,6.57,0.487725,0.97,-14.78,0.0000,4312,
Crisis,dispersion_usdt_coinbase,-60.33,46.32,0.993631,108.48,-1.6,0.4848,4318,
Crisis,basis_usdt_coinbase,-0.95,5.6,0.549243,1.16,-13.83,0.0000,4318,
Crisis,basis_usdc_usdt_binance,-0.49,46.28,0.56498,1.21,-20.24,0.0000,4320,
Crisis,xbasis_btcusdt_binance_kraken,-0.88,6.49,0.403723,0.76,-15.57,0.0000,4312,
Crisis,xbasis_btcusdt_coinbase_kraken,-0.83,7.2,0.397625,0.75,-16.64,0.0000,4310,
Crisis,xbasis_btcusd_coinbase_kraken,2.37,6.89,0.781708,2.81,-9.42,0.0000,4320,
Crisis,usdt_peg_dev_kraken,58.11,46.61,0.998604,496.32,-1.85,0.3541,4320,
Crisis,usdt_peg_dev_coinbase,59.68,46.08,0.998722,542.14,-1.72,0.4220,4320,
Crisis,usdc_peg_dev_kraken,-306.6,304.75,0.998788,571.62,-1.68,0.4430,4292,
Post-SVB,dispersion_usdc_kraken,11.22,21.95,0.901526,6.69,-9.62,0.0000,12514,
Post-SVB,dispersion_usdt_kraken,-30.26,13.29,0.832888,3.79,-10.81,0.0000,12837,
Post-SVB,basis_usdc_kraken,0.45,9.06,0.417563,0.79,-40.61,0.0000,12419,
Post-SVB,basis_usdt_kraken,-1.23,6.47,0.295542,0.57,-36.77,0.0000,12837,
Post-SVB,dispersion_usdt_coinbase,-34.43,12.38,0.887026,5.78,-8.53,0.0000,12956,
Post-SVB,basis_usdt_coinbase,0.28,5.32,0.390344,0.74,-26.27,0.0000,12956,
Post-SVB,basis_usdc_usdt_binance,-2.58,12.98,0.70072,1.95,-23.7,0.0000,12959,
Post-SVB,xbasis_btcusdt_binance_kraken,0.39,6.81,0.228318,0.47,-44.95,0.0000,12837,
Post-SVB,xbasis_btcusdt_coinbase_kraken,0.38,7.41,0.253447,0.5,-66.95,0.0000,12834,
Post-SVB,xbasis_btcusd_coinbase_kraken,4.59,7.45,0.835496,3.86,-10.04,0.0000,12952,
Post-SVB,usdt_peg_dev_kraken,29.05,12.06,0.996323,188.18,-4.56,0.0002,12952,
Post-SVB,usdt_peg_dev_coinbase,34.78,11.71,0.995523,154.48,-4.84,0.0000,12959,
Post-SVB,usdc_peg_dev_kraken,-10.68,19.25,0.998079,360.48,-3.61,0.0055,12837,
