Pair,Regime,"Corr(Range, RV60m)",N
Kraken BTC/USD,Overall,0.5851574411950385,26489
Kraken BTC/USD,Pre-SVB,0.49221003454807055,10093
Kraken BTC/USD,Crisis,0.47301809848561793,4249
Kraken BTC/USD,Post-SVB,0.534760747355639,12146
Kraken BTC/USDC,Overall,0.5345632604606948,26489
Kraken BTC/USDC,Pre-SVB,0.3016845250336599,10093
Kraken BTC/USDC,Crisis,0.551031786970994,4249
Kraken BTC/USDC,Post-SVB,0.3985135995777057,12146
Kraken BTC/USDT,Overall,0.45599667623125795,26489
Kraken BTC/USDT,Pre-SVB,0.36257339527747373,10093
Kraken BTC/USDT,Crisis,0.37351079367129164,4249
Kraken BTC/USDT,Post-SVB,0.4432507466012217,12146
Binance BTC/USDT,Overall,0.6146444122396456,26489
Binance BTC/USDT,Pre-SVB,0.5545670919553725,10093
Binance BTC/USDT,Crisis,0.5377895378843993,4249
Binance BTC/USDT,Post-SVB,0.5560454543989818,12146
Coinbase BTC/USD,Overall,0.6358707814412732,26489
Coinbase BTC/USD,Pre-SVB,0.5630140528842776,10093
Coinbase BTC/USD,Crisis,0.5164369010644044,4249
Coinbase BTC/USD,Post-SVB,0.5736089266794948,12146
